what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395113334
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395114576
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395114847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395145134
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359395152483
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359395152646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1359395198973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359395199980
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359395202025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395202254
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395206684
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1359395209316
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359395209479
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359395815856
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359396082366
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359396114082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466476715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466535348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466730447
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466754959
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466776348
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466811974
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359466817487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466817504
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466818245
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466819470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466832894
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466848157
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466886337
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466889448
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1359466891469
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1359466893384
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466893400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466894330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466894599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1359466905119
